source,target,distance_km,intersections
2846,970,3.01426023882577,1
2846,2000,3.3610384056593046,1
2846,2200,6.113839310352592,1
2846,2820,7.772310424502156,1
2846,2825,8.30885514476652,1
2846,2827,9.092377440312195,1
2846,3001,6.076578394999016,1
2846,3002,5.848148137187893,1
2846,3120,4.29557485398918,1
2846,3122,4.207636545643809,1
2846,3126,5.167936437982306,1
2846,3127,4.391077828234595,1
2846,3180,7.5881260743839904,1
2846,3662,6.422433267355185,1
2846,3682,4.359853642944206,1
2846,3685,3.2276042483693104,1
2846,3804,3.1329503708136235,1
2846,3812,2.6705035106869315,1
2846,4030,7.311293718077863,1
2846,4032,6.594088910333208,1
2846,4034,5.538592845405346,1
2846,4035,4.892847662460986,1
2846,4040,3.2001621317464344,1
2846,4043,1.6711188918018722,1
2846,4051,7.527442363579453,1
2846,4057,6.6729754757410955,1
2846,4063,5.597400212303809,1
2846,4262,5.810928385012076,1
2846,4263,5.157759795514823,1
2846,4264,4.657860705897652,1
2846,4266,14491.944612384124,1
2846,4270,4.157838293864992,1
2846,4272,3.418622973741757,1
2846,4273,2.080725150601412,1
2846,4321,6.768349787278449,1
2846,4324,6.061275549760103,1
2846,4335,6.439613314624384,1
2846,4812,5.152107147612747,1
2846,4821,6.922227186041724,1
3001,970,8.433149857416236,1
3001,2000,7.554215045529439,1
3001,2200,6.652188856786032,1
3001,2820,2.3035093574092564,1
3001,2825,4.653484120960638,1
3001,2827,6.09324945596983,1
3001,2846,6.076578394999016,1
3001,3002,0.37278463310571314,1
3001,3120,3.2001069966087496,1
3001,3122,3.85326658301056,1
3001,3126,6.875101074817316,1
3001,3127,5.022743693812214,1
3001,3180,5.756295326319706,1
3001,3662,0.7736823557176494,1
3001,3682,7.011889011499127,1
3001,3685,7.70514753475932,1
3001,3804,4.096916747249093,1
3001,3812,4.255934075820388,1
3001,4030,4.0950173632986955,1
3001,4032,3.6797883888716525,1
3001,4034,3.269317016605584,1
3001,4035,3.172133230683125,1
3001,4040,3.5333499572124163,1
3001,4043,4.481779396745127,1
3001,4051,4.714795547464361,1
3001,4057,5.349803932011401,1
3001,4063,5.0661480827776915,1
3001,4262,1.02608328135296,1
3001,4263,0.967561705553084,1
3001,4264,1.4697495136029854,1
3001,4266,14493.030366380632,1
3001,4270,1.9203335682335947,1
3001,4272,2.8812713129706222,1
3001,4273,4.013204272267746,1
3001,4321,2.8174011034075366,1
3001,4324,1.4261539013716686,1
3001,4335,1.4421754736035493,1
3001,4812,1.6622095017500251,1
3001,4821,1.236784430564123,1
3002,970,8.133411671649986,1
3002,2000,7.2182579219656375,1
3002,2200,6.281856999806286,1
3002,2820,2.266615295602457,1
3002,2825,4.422294510575065,1
3002,2827,5.839845632591985,1
3002,2846,5.848148137187893,1
3002,3001,0.37278463310571314,1
3002,3120,2.8318393598873897,1
3002,3122,3.483996766196734,1
3002,3126,6.5034149557362735,1
3002,3127,4.651759889377028,1
3002,3180,5.432976376136784,1
3002,3662,0.6866085895592626,1
3002,3682,6.648779751641837,1
3002,3685,7.3758979393341715,1
3002,3804,3.75560361969736,1
3002,3812,3.9328844061662207,1
3002,4030,3.8121698120120135,1
3002,4032,3.3628613605226882,1
3002,4034,2.90893402924699,1
3002,4035,2.799743398687857,1
3002,4040,3.2044052947055985,1
3002,4043,4.2279956207438305,1
3002,4051,4.421521629783205,1
3002,4057,5.001924816328787,1
3002,4063,4.697970534984949,1
3002,4262,1.2596280172258632,1
3002,4263,0.8944570968600197,1
3002,4264,1.196198778959938,1
3002,4266,14493.272652438583,1
3002,4270,1.720405539062542,1
3002,4272,2.5810885141901703,1
3002,4273,3.8056073189990074,1
3002,4321,2.546780073613992,1
3002,4324,1.1267350907569573,1
3002,4335,1.2203642903837673,1
3002,4812,1.7668498692962655,1
3002,4821,1.609567733020122,1
3120,970,5.7799742663463185,1
3120,2000,4.581459742305381,1
3120,2200,3.650535057188693,1
3120,2820,3.8797288202901066,1
3120,2825,4.027396491325097,1
3120,2827,4.959343980044023,1
3120,2846,4.29557485398918,1
3120,3001,3.2001069966087496,1
3120,3002,2.8318393598873897,1
3120,3122,0.655535069804118,1
3120,3126,3.6904011667163896,1
3120,3127,1.8344700807902112,1
3120,3180,3.75143235806299,1
3120,3662,3.036551379307801,1
3120,3682,3.828612403249651,1
3120,3685,4.7914997765792116,1
3120,3804,1.2691198552413188,1
3120,3812,1.673527724606296,1
3120,4030,3.039722002741842,1
3120,4032,2.3186851935143737,1
3120,4034,1.2559301327330454,1
3120,4035,0.604310664144066,1
3120,4040,1.1154738729535705,1
3120,4043,2.7198412894771096,1
3120,4051,3.3418190001078174,1
3120,4057,2.9724660007238612,1
3120,4063,2.2161599349069467,1
3120,4262,3.718272213129044,1
3120,4263,2.829301751694641,1
3120,4264,2.0468546919676145,1
3120,4266,14494.732453792332,1
3120,4270,2.2668662185166273,1
3120,4272,1.388396159949653,1
3120,4273,2.889861278122468,1
3120,4321,2.5277708384725757,1
3120,4324,2.3034519112796215,1
3120,4335,2.6673677550790407,1
3120,4812,3.6526957983768242,1
3120,4821,4.426922019643903,1
3122,970,5.358085585077598,1
3122,2000,4.0515846259989665,1
3122,2200,3.0544615895996987,1
3122,2820,4.390524844251291,1
3122,2825,4.1407283031862105,1
3122,2827,4.894091049903538,1
3122,2846,4.207636545643809,1
3122,3001,3.85326658301056,1
3122,3002,3.483996766196734,1
3122,3120,0.655535069804118,1
3122,3126,3.035524395709299,1
3122,3127,1.1801605965165478,1
3122,3180,3.503849987608123,1
3122,3662,3.66169770109433,1
3122,3682,3.1942806669022095,1
3122,3685,4.284428784602368,1
3122,3804,1.07590791595624,1
3122,3812,1.5415625605591066,1
3122,4030,3.139160350046702,1
3122,4032,2.438962374861003,1
3122,4034,1.4440647893444705,1
3122,4035,0.9124390544498086,1
3122,4040,1.2669977138458715,1
3122,4043,2.767210482967187,1
3122,4051,3.319857737917685,1
3122,4057,2.646522195575054,1
3122,4063,1.7363012234751434,1
3122,4262,4.366324154286127,1
3122,4263,3.47371354289587,1
3122,4264,2.6850736599596186,1
3122,4266,14495.131297652328,1
3122,4270,2.849071834630174,1
3122,4272,1.8162978978135251,1
3122,4273,3.104591227202722,1
3122,4321,2.8864112600253415,1
3122,4324,2.8946279861162614,1
3122,4335,3.242588931772741,1
3122,4812,4.268665239308093,1
